scenario,expectation,example_feedback
"general help","Every command should provide discoverable usage guidance via `--help` with a short purpose line and the key flags.","Run `gh flarebyte repo update --help` to see required safety flags and examples."
"init overwrite blocked","If `repo init` finds an existing `.gh-flarebyte.cue` file it should fail safely and explain the overwrite option.","`.gh-flarebyte.cue already exists in /path/to/repo. Re-run with --overwrite if replacing it is intentional.`"
"missing config","If `.gh-flarebyte.cue` is missing or unreadable the CLI should explain what file was expected and which command should create or fix it.","`No .gh-flarebyte.cue found in /path/to/repo. Run gh flarebyte repo init or pass --repo to target a managed repository.`"
"config validation error","If config parsing or validation fails the CLI should identify the field and why it is invalid.","`Invalid build.targets entry ""linux/x64"". Expected os-arch format such as linux-amd64 or windows-amd64.`"
"deletion blocked","If update detects topic or label deletions without confirmation the CLI should explain what would be deleted and which flag is required.","`Update would delete 2 labels and 1 topic. Re-run with --confirm-deletions if that is intentional.`"
"visibility blocked","If update detects a visibility change without acknowledgement the CLI should explain the current and target visibility and the required flag.","`Visibility would change from public to private. Re-run with --accept-visibility-change-consequences if that is intentional.`"
"build failure","If build fails the CLI should identify the target and failing step and point to the next debugging action.","`Build failed for windows-amd64 during go build. Re-run with --target windows-amd64 to isolate the failure.`"
"release failure","If release fails after build the CLI should say whether artifacts were built successfully and which release step failed.","`Build completed, but release upload failed for tag v1.2.3. Check GitHub authentication and retry gh flarebyte release.`"
"partial update failure","If `repo update` fails after applying some changes it should say what was already applied and that no rollback occurred.","`Update stopped after repository settings and topics were applied. Label sync failed, and no rollback was attempted. Fix the error and rerun gh flarebyte repo update.`"
"drift report","Audit output should summarize drift clearly and point to the next command to resolve it.","`3 differences found. Review the drift report below, then run gh flarebyte repo update when ready to apply changes.`"
